paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Geometry-preserving expansion microscopy microplates enable high-fidelity nanoscale distortion mapping,Seehra 2023,Anti-Nup98 (mouse),primary,Santa Cruz,sc-74578,pre-expansion,1:200
Geometry-preserving expansion microscopy microplates enable high-fidelity nanoscale distortion mapping,Seehra 2023,"Anti-GFP, affinity-purified (rabbit)",primary,Abcam,ab6556,pre-expansion,1:200
Geometry-preserving expansion microscopy microplates enable high-fidelity nanoscale distortion mapping,Seehra 2023,Alexa Fluor 594 goat anti-rabbit,secondary,Thermo Fisher Scientific,A11012,pre-expansion,1:200
Geometry-preserving expansion microscopy microplates enable high-fidelity nanoscale distortion mapping,Seehra 2023,Alexa Fluor 594 goat anti-mouse,secondary,Thermo Fisher Scientific,A11005,pre-expansion,1:200
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"polyclonal anti-human lamin B1 (IgG, rabbit, 1:50) (ab16048, Abcam, Waltham, MA, USA)",primary,Abcam,ab16048,pre-expansion,1:50
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"monoclonal anti-human lamin B2 (IgG2a, mouse, 1:100) (MA5-17274, Invitrogen, Waltham, MA, USA)",primary,Invitrogen,MA5-17274,pre-expansion,1:100
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"polyclonal anti-human MPO (IgG, sheep, 1:50) (AA16-718, Antibody Online, Pottstown, PA, USA)",primary,Antibody Online,AA16-718,pre-expansion,1:50
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"monoclonal anti-human histone H1 (IgG2a, mouse, 1:100) (MA5-13750, Invitrogen)",primary,Invitrogen,MA5-13750,pre-expansion,1:100
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"monoclonal anti-human NPM1 (IgG1, mouse, 1:500) (325200, Invitrogen)",primary,Invitrogen,325200,pre-expansion,1:500
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"polyclonal anti-rabbit Alexa 488 (IgG, goat, 1:50) (ab11034, Abcam)",secondary,Abcam,ab11034,pre-expansion,1:50
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"polyclonal anti-mouse Alexa 488 (IgG, goat, 1:2,000) (A11029, Invitrogen)",secondary,Invitrogen,A11029,pre-expansion,"1:2,000"
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"polyclonal anti-mouse Alexa 555 (IgG, goat, 1:50) (A21422, Life Technologies)",secondary,Life Technologies,A21422,pre-expansion,1:50
Expansion microscopy of neutrophil nuclear structure and extracellular traps,Holsapple 2023,"anti-sheep Alexa 568 (IgG, donkey, 1:50) (ab175712, Abcam)",secondary,Abcam,ab175712,pre-expansion,1:50
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,mouse anti-βII-spectrin,primary,BD Biosciences,612563,pre-expansion,1:100
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,rat anti-tyrosinated tubulin,primary,Abcam,ab6160,pre-expansion,1:200
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,mouse anti-alpha tubulin (clone α-3A1),primary,Sigma-Aldrich,T5168,pre-expansion,1:400
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,anti-mouse-Alexa Fluor 488,secondary,Thermo Fisher Scientific,A32723,pre-expansion,
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,anti-rat-Alexa Fluor 568,secondary,Thermo Fisher Scientific,A11077,pre-expansion,
Quantitative expansion microscopy for the characterization of the spectrin periodic skeleton of axons using fluorescence microscopy,Martínez 2020,anti-mouse-ATTO-647N,secondary,Sigma-Aldrich,50185,pre-expansion,
Revealing nanostructures in brain tissue via protein decrowding by iterative expansion microscopy,,"antibody against PSD95 (ThermoFisher, MA1-046)",primary,ThermoFisher,MA1-046,,
Revealing nanostructures in brain tissue via protein decrowding by iterative expansion microscopy,,"antibody against PSD95 (Cell Signaling Technology, CST3450S)",primary,Cell Signaling Technology,CST3450S,,
Revealing nanostructures in brain tissue via protein decrowding by iterative expansion microscopy,,"primary antibody against GFP (ThermoFisher, A-11122)",primary,ThermoFisher,A-11122,post-expansion,
Revealing nanostructures in brain tissue via protein decrowding by iterative expansion microscopy,,"antibody (Jackson ImmunoResearch Laboratories, 711–005–152) (DNA-conjugated)",secondary,Jackson ImmunoResearch Laboratories,711-005-152,pre-expansion,concentrated to 2 mg/ml (described in protocol); final conjugate washed to ~100 µg/ml
Applying the Expansion Microscopy Method in Neurobiology,Derevtsova 2021,rabbit anti-GFP,primary,Sigma,G-1544,pre-expansion,1:1000
Applying the Expansion Microscopy Method in Neurobiology,Derevtsova 2021,immunofluorescent antibodies Alexa Fluor 488,secondary,Life Technologies,A11008,pre-expansion,1:2000
Applying the Expansion Microscopy Method in Neurobiology,Derevtsova 2021,rabbit polyclonal immunoglobulins (anti-IP3R),primary,Abcam,ab5804,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,mouse monoclonal anti-α-tubulin,primary,Sigma-Aldrich,T6199,pre-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,rabbit polyclonal anti-CEP164,primary,Abcam,ab221447,pre-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,rabbit polyclonal anti-CEP164,primary,Abcam,ab221447,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,mouse monoclonal anti-Centrin,primary,Merck,04-1624,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,mouse monoclonal anti-ATPB,primary,Abcam,ab110280,pre-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,mouse monoclonal anti-ATPB,primary,Abcam,ab110280,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,rabbit polyclonal anti-Homer1,primary,Synaptic Systems,160003,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,guinea pig polyclonal anti-Bassoon,primary,Synaptic Systems,141004,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,goat polyclonal anti-tdTomato,primary,SICGEN,AB8181-200,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,rabbit monoclonal anti-ribosomal protein S6,primary,Cell Signaling Technology,5364S,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,chicken polyclonal anti-GFP,primary,Aves Labs,GFP-1020,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,rabbit polyclonal anti-GFP,primary,Thermo Fisher Scientific,A-6455,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,mouse monoclonal anti-pS129 α-synuclein,primary,Biolegend,#825702,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 488-conjugated rabbit polyclonal anti-GFP,primary,Thermo Fisher Scientific,A-21311,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated rabbit polyclonal anti-GFP,primary,Thermo Fisher Scientific,A-31852,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 488-conjugated rabbit monoclonal anti-TOMM20 antibody,primary,Abcam,ab205486,pre-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated rabbit monoclonal anti-TOMM20 antibody,primary,Abcam,ab205487,pre-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 405-conjugated donkey anti-goat IgG,secondary,Abcam,ab175665,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated goat anti-mouse IgG,secondary,Abcam,ab150115,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated donkey anti-rabbit IgG,secondary,Abcam,ab150063,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 488-conjugated donkey anti-rabbit IgG,secondary,Abcam,150061,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 594-conjugated donkey anti-chicken IgY,secondary,Jackson ImmunoResearch,703-585-155,,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated donkey anti-guinea pig IgG,secondary,Jackson ImmunoResearch,706-605-148,post-expansion,
Scalable and Isotropic Expansion of Tissues with Simply Tunable Expansion Ratio,Park 2019,Alexa 647-conjugated donkey anti-mouse IgG,secondary,Thermo Fisher Scientific,A-31571,post-expansion,
Super-resolution Imaging of Clickable Lipids with Lipid Expansion Microscopy (LExM),White-Mathieu 2024,Mouse anti-mCherry IC51,primary,Millipore Sigma,MAB131873,post-expansion,1:100
Super-resolution Imaging of Clickable Lipids with Lipid Expansion Microscopy (LExM),White-Mathieu 2024,Mouse anti-V5 SV5-PK1,primary,BioRad,MCA1360GA,post-expansion,1:100
Super-resolution Imaging of Clickable Lipids with Lipid Expansion Microscopy (LExM),White-Mathieu 2024,Alexa Fluor™ 594 donkey anti-mouse,secondary,Thermo Fisher Scientific,A21203,post-expansion,1:100
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,rabbit polyclonal anti-C(3)G N-terminal (HL4287),primary,Mary Lilly,HL4287,pre-expansion and post-expansion,1:3000
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,rabbit anti-GFP,primary,Abcam,AB6556,pre-expansion and post-expansion,1:1000
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,rat anti-HA clone 3F10,primary,Sigma-Aldrich,11867423001,pre-expansion and post-expansion,1:100
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-mouse Alexa Fluor 488,secondary,Thermo Fisher Scientific,A-11001,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-mouse Alexa Fluor 555,secondary,Thermo Fisher Scientific,A-21424,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-rabbit Alexa Fluor 488,secondary,Thermo Fisher Scientific,A-11008,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-rabbit Alexa Fluor 555,secondary,Thermo Fisher Scientific,A-21429,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-rabbit Alexa Fluor 594,secondary,Thermo Fisher Scientific,A-11037,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,goat anti-guinea pig Alexa Fluor 488,secondary,Thermo Fisher Scientific,A-11073,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,anti-mouse Atto 647N secondary antibody,secondary,Sigma-Aldrich,50185-1ML-F,pre-expansion and post-expansion,1:500
Superresolution expansion microscopy reveals the three-dimensional organization of the Drosophila synaptonemal complex,Cahoon 2017,F(ab')2 fragment of goat anti-rabbit IgG UltraSmall Gold,secondary,Electron Microscopy Sciences,25360,pre-expansion,1:50
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-GFP (Abcam, ab1218)",primary,Abcam,ab1218,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-GFP (OriGene, SP3005P)",primary,OriGene,SP3005P,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-LC3B (Cell Signaling, 2775)",primary,Cell Signaling,2775,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-tubulin (Abcam, ab18251)",primary,Abcam,ab18251,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-tubulin (Sigma Aldrich, T8328)",primary,Sigma Aldrich,T8328,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-lipoteichoic acid (OriGene, BP984)",primary,OriGene,BP984,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-LAMP1 (Santa Cruz, H5G11)",primary,Santa Cruz,H5G11,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-cHSP60 (Santa Cruz, sc-57840)",primary,Santa Cruz,sc-57840,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Anti-Neisseria gonorrhoeae (US biological, N0600-02)",primary,US biological,N0600-02,pre-expansion,1:200
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Alexa488 conjugated anti rabbit (Thermo Fisher, A-11008)",secondary,Thermo Fisher,A-11008,pre-expansion,1:200
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Alexa488 conjugated anti mouse (Thermo Fisher, A-11017)",secondary,Thermo Fisher,A-11017,pre-expansion,1:200
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"CF568-conjugated anti rabbit (Sigma Aldrich, SAB4600310)",secondary,Sigma Aldrich,SAB4600310,pre-expansion,1:100
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"ATTO647N-conjugated anti rabbit (Rockland, 610-156-121S)",secondary,Rockland,610-156-121S,pre-expansion,1:200
The Expandables: Cracking the Staphylococcal Cell Wall for Expansion Microscopy,Kunz 2021,"Alexa Fluor 488 secondary antibody (Thermo Fisher, A-11070)",secondary,Thermo Fisher,A-11070,pre-expansion,1:100
ExPOSE: a comprehensive toolkit to perform expansion microscopy in plant protoplast systems,Jr. 2025,anti-Actin rabbit polyclonal (AS13 2640),primary,Agrisera,AS13 2640,pre-expansion,1:250
ExPOSE: a comprehensive toolkit to perform expansion microscopy in plant protoplast systems,Jr. 2025,anti-mitochondrial matrix marker (GDC-H) rabbit polyclonal (AS05 074),primary,Agrisera,AS05 074,pre-expansion,1:250
